"city","data_source","Var_p","Var_W"
"Budapest","era5-land",16255.7601274313,11735.7149363636
"Budapest","gleam-v4-1a",NA,8244.84197589852
"Budapest","mswep-v2-8",12939.3152026956,11779.1835494186
"Budapest","terraclimate",10217.0435655391,2558.35564545454
"Buenos Aires","era5-land",47531.1797633721,46879.7755059197
"Buenos Aires","gleam-v4-1a",NA,53232.3208940275
"Buenos Aires","mswep-v2-8",63006.9194718816,61983.6937737843
"Buenos Aires","terraclimate",54084.7798817653,16160.4597551797
"Busan","era5-land",100844.314046934,91057.8858585624
"Busan","gleam-v4-1a",NA,87604.8513040169
"Busan","mswep-v2-8",108094.852665116,114516.764094715
"Busan","terraclimate",83852.4643369979,76519.7255544926
"Cairo","era5-land",218.51793461945,4851.40991897463
"Cairo","gleam-v4-1a",NA,150.070360835095
"Cairo","mswep-v2-8",248.332943551797,100.908069133192
"Cairo","terraclimate",115.111005232558,0.294904175475687
"Campinas","era5-land",70378.2331849894,45889.8610741543
"Campinas","gleam-v4-1a",NA,61418.1202712474
"Campinas","mswep-v2-8",57686.5103509514,58379.3445278541
"Campinas","terraclimate",59731.7421418076,40014.7851617336
"Cape Town","era5-land",12192.3179993658,8540.70717336152
"Cape Town","gleam-v4-1a",NA,9634.42664186047
"Cape Town","mswep-v2-8",13394.2907506871,9714.09706448203
"Cape Town","terraclimate",12382.2059160148,3853.2027063425
"Caracas","era5-land",113281.029376744,67633.777759408
"Caracas","gleam-v4-1a",NA,44041.9530661205
"Caracas","mswep-v2-8",34607.8413604123,31338.2253785941
"Caracas","terraclimate",42010.6440881078,23921.2209587209
"Casablanca","era5-land",15931.7637227801,8898.57796548626
"Casablanca","gleam-v4-1a",NA,8314.91436786469
"Casablanca","mswep-v2-8",17446.0543371564,9945.65585216702
"Casablanca","terraclimate",16312.8188319239,4176.01982975687
"Changchun","era5-land",20971.1840348837,20179.1559253171
"Changchun","gleam-v4-1a",NA,10911.4638483615
"Changchun","mswep-v2-8",16201.4683625264,17536.5123524313
"Changchun","terraclimate",9333.52186955603,3634.19131522199
"Changsha","era5-land",111304.113320666,125141.093779493
"Changsha","gleam-v4-1a",NA,45908.5783399577
"Changsha","mswep-v2-8",65282.5506980972,83323.8887604123
"Changsha","terraclimate",35286.9407604123,29317.8770501057
"Changzhou","era5-land",74004.3896807611,85673.868044186
"Changzhou","gleam-v4-1a",NA,40348.5750399049
"Changzhou","mswep-v2-8",39963.5206119979,61163.9896418605
"Changzhou","terraclimate",24639.2251511628,13792.5503179704
"Chengdu","era5-land",39491.8080190275,39106.0983016913
"Chengdu","gleam-v4-1a",NA,13485.4892748414
"Chengdu","mswep-v2-8",29033.4213697146,31788.5397650634
"Chengdu","terraclimate",11922.9012245243,14516.0720788584
"Chennai","era5-land",51955.9625109937,39076.6635439218
"Chennai","gleam-v4-1a",NA,53378.7491198732
"Chennai","mswep-v2-8",61383.0666,53072.0756614694
"Chennai","terraclimate",61189.2796483615,51690.4954428647
"Chicago","era5-land",17920.9401511099,22353.1817219345
"Chicago","gleam-v4-1a",NA,15761.380961945
"Chicago","mswep-v2-8",20106.5796114165,19813.0132059197
"Chicago","terraclimate",16333.108159408,10573.4594742072
"Chittagong","era5-land",179630.266800423,171197.419432558
"Chittagong","gleam-v4-1a",NA,271088.131542283
"Chittagong","mswep-v2-8",187252.724924736,189425.031866966
"Chittagong","terraclimate",265736.250075423,255409.57071686
"Chongqing","era5-land",32495.4524149577,31993.9260549683
"Chongqing","gleam-v4-1a",NA,29092.7487632135
"Chongqing","mswep-v2-8",25131.2018893763,36700.9214627378
"Chongqing","terraclimate",20138.749669556,17380.4864875264
"Coimbatore","era5-land",59873.8391004228,48726.6018090381
"Coimbatore","gleam-v4-1a",NA,24863.1558428647
"Coimbatore","mswep-v2-8",24533.1014276956,15835.4974754228
"Coimbatore","terraclimate",31347.6315904863,13424.7082953488
"Conakry","era5-land",128618.280990433,125195.479425106
"Conakry","gleam-v4-1a",NA,207756.853985835
"Conakry","mswep-v2-8",115882.641190698,113503.233755761
"Conakry","terraclimate",207356.541066966,213202.941771459
"Copenhagen","era5-land",8519.7344410148,6776.74840692389
"Copenhagen","gleam-v4-1a",NA,4539.5312230444
"Copenhagen","mswep-v2-8",6867.78720359408,4525.99208181818
"Copenhagen","terraclimate",6796.72403065539,3942.52231432347
"Curitiba","era5-land",59164.6162534355,66324.8633900634
"Curitiba","gleam-v4-1a",NA,82124.5802928119
"Curitiba","mswep-v2-8",57635.5909265856,67687.6207392706
"Curitiba","terraclimate",74276.4348247357,69413.7765365751
"Dakar","era5-land",9225.65222975687,12836.6253790169
"Dakar","gleam-v4-1a",NA,10480.4050661205
"Dakar","mswep-v2-8",12407.6802570825,8702.80801368922
